Season,DayNum,TeamA,TeamB,ScoreA,ScoreB,Target,SeedA,SeedB,TemDuasSeeds,SeedDif,WinRateDiff,Pred,Categoria
2021,136,1179,1455,53,52,1,11,11,True,0,0.115009746588694,1.2556780619530243,M
2021,136,1111,1313,53,54,-1,16,16,True,0,-0.125,-1.3252491448240904,M
2021,136,1291,1411,52,60,-8,16,16,True,0,-0.1067193675889328,-1.128669704957971,M
2021,136,1277,1417,80,86,-6,11,11,True,0,-0.0982905982905982,-1.0380315525041068,M
2021,137,1116,1159,85,68,17,3,14,True,-11,-0.1476190476190476,10.11064631719419,M
2021,137,1124,1216,79,55,24,1,16,True,-15,0.2644927536231883,18.78921588488834,M
2021,137,1196,1439,75,70,5,7,10,True,-3,-0.1055900621118012,2.0686908527436545,M
2021,137,1156,1222,56,87,-31,15,2,True,13,-0.1538461538461538,-15.438049645545394,M
2021,137,1180,1228,49,78,-29,16,1,True,15,-0.161524500907441,-17.64409595689883,M
2021,137,1210,1260,60,71,-11,9,8,True,1,-0.1661538461538461,-2.8295328957642374,M
2021,137,1317,1345,78,69,9,13,4,True,9,-0.0266666666666666,-9.823478819180492,M
2021,137,1251,1329,60,69,-9,13,4,True,9,0.0773809523809523,-8.704610378972614,M
2021,137,1326,1331,72,75,-3,2,15,True,-13,0.1347826086956521,15.270909585424222,M
2021,137,1333,1397,70,56,14,12,5,True,7,-0.1208791208791209,-8.7131077662922,M
2021,137,1155,1353,56,60,-4,7,10,True,-3,0.1187290969899665,4.480890477783337,M
2021,137,1361,1393,62,78,-16,6,11,True,-5,0.2061538461538461,7.544483875263578,M
2021,137,1403,1429,65,53,12,6,11,True,-5,-0.074074074074074,4.531073488000263,M
2021,137,1437,1457,73,63,10,5,12,True,-7,-0.231060606060606,4.966408099618088,M
2021,137,1287,1452,67,84,-17,14,3,True,11,0.0833333333333333,-10.764079656356907,M
2021,137,1314,1458,62,85,-23,8,9,True,-1,0.0566502463054188,1.6898523406426749,M
2021,138,1101,1400,53,52,1,14,3,True,11,0.0953177257525084,-10.635206371455071,M
2021,138,1104,1233,68,55,13,2,15,True,-13,0.0941176470588235,14.83362190297482,M
2021,138,1160,1207,96,73,23,5,12,True,-7,0.2133333333333332,9.745165733466225,M
2021,138,1166,1364,63,62,1,5,12,True,-7,-0.119047619047619,6.170931540033269,M
2021,138,1199,1422,64,54,10,4,13,True,-9,0.0031347962382445,9.608288950905996,M
2021,138,1211,1313,98,55,43,1,16,True,-15,0.3333333333333333,19.529488009789585,M
2021,138,1213,1234,74,86,-12,15,2,True,13,-0.0241379310344828,-14.043241784800296,M
2021,138,1186,1242,84,93,-9,14,3,True,11,-0.0218855218855219,-11.895542898829571,M
2021,138,1261,1382,76,61,15,8,9,True,-1,-0.1333333333333334,-0.3531221489344089,M
2021,138,1163,1268,54,63,-9,7,10,True,-3,0.146103896103896,4.775263372290309,M
2021,138,1276,1411,82,66,16,1,16,True,-15,0.1811594202898551,17.89309699684999,M
2021,138,1325,1438,62,58,4,13,4,True,9,-0.0681818181818182,-10.269908956130507,M
2021,138,1281,1328,68,72,-4,9,8,True,1,0.04,-0.6126726312016774,M
2021,138,1140,1417,62,73,-11,6,11,True,-5,0.1061538461538461,6.46914120961756,M
2021,138,1179,1425,56,72,-16,11,6,True,5,0.0932311621966794,-4.287210771455618,M
2021,139,1116,1403,68,66,2,3,6,True,-3,0.156084656084656,4.882590742719144,M
2021,139,1124,1458,76,63,13,1,9,True,-8,0.3304597701149425,12.066415165623296,M
2021,139,1222,1353,63,60,3,2,10,True,-8,0.3076923076923077,11.82158692830778,M
2021,139,1228,1260,58,71,-13,1,8,True,-7,-0.053050397877984,6.880627817411121,M
2021,139,1196,1331,78,81,-3,7,15,True,-8,0.0434782608695653,8.980380554192882,M
2021,139,1329,1333,70,80,-10,4,12,True,-8,0.1428571428571429,10.04904407284731,M
2021,139,1393,1452,75,72,3,11,3,True,8,-0.0266666666666666,-8.761739934486975,M
2021,139,1317,1437,61,84,-23,13,5,True,8,-0.0872727272727272,-9.41346276215123,M
2021,140,1104,1268,96,77,19,2,10,True,-8,0.2642857142857143,11.35481730970319,M
2021,140,1166,1325,72,58,14,5,13,True,-8,0.0324675324675325,8.861977493887421,M
2021,140,1160,1199,53,71,-18,5,4,True,1,0.0060606060606059,-0.9776374146936604,M
2021,140,1211,1328,87,71,16,1,8,True,-7,0.4,11.752472042672125,M
2021,140,1261,1276,78,86,-8,8,1,True,7,-0.1666666666666667,-9.205480781697888,M
2021,140,1234,1332,80,95,-15,2,7,True,-5,-0.0450928381962865,4.842721082425625,M
2021,140,1101,1417,47,67,-20,14,11,True,3,0.1722408026755852,-1.3141086280253829,M
2021,140,1242,1425,51,85,-34,3,6,True,-3,-0.0549169859514686,2.613600060691012,M
2021,145,1116,1331,72,70,2,3,15,True,-12,0.2204968944099379,15.130892985570153,M
2021,145,1124,1437,62,51,11,1,5,True,-4,0.1893939393939393,6.3025185624582925,M
2021,145,1222,1393,62,46,16,2,11,True,-9,0.2446153846153845,12.20503274697842,M
2021,145,1260,1333,58,65,-7,8,12,True,-4,0.2747252747252747,7.220122818441617,M
2021,146,1166,1211,65,83,-18,5,1,True,4,-0.2857142857142857,-7.300433967672117,M
2021,146,1199,1276,58,76,-18,4,1,True,3,-0.106060606060606,-4.306802415259563,M
2021,146,1104,1417,78,88,-10,2,11,True,-9,0.1461538461538462,11.146233814650037,M
2021,146,1332,1425,68,82,-14,7,6,True,1,0.0106100795755968,-0.9287149849246976,M
2021,147,1116,1124,72,81,-9,3,1,True,2,-0.1309523809523809,-3.512735406213864,M
2021,147,1222,1333,67,61,6,2,12,True,-10,0.3131868131868132,14.004149459543497,M
2021,148,1211,1425,85,66,19,1,6,True,-5,0.2413793103448276,7.923278320881062,M
2021,148,1276,1417,49,51,-2,1,11,True,-10,0.1794871794871795,12.566420254558892,M
2021,152,1124,1222,78,59,19,1,2,True,-1,0.032051282051282,1.4253291827109291,M
2021,152,1211,1417,93,90,3,1,11,True,-10,0.3461538461538461,14.358658030635588,M
2021,154,1124,1211,86,70,16,1,1,True,0,-0.0833333333333333,-0.8771897008049165,M
2021,139,3124,3238,101,52,49,2,15,True,-13,0.1433172302737519,27.724858915736416,W
2021,139,3163,3219,102,59,43,1,16,True,-15,0.1907692307692307,32.40637156378993,W
2021,139,3210,3372,54,52,2,5,12,True,-7,-0.2644927536231883,7.751481057085127,W
2021,139,3141,3234,72,87,-15,12,5,True,7,0.0256410256410256,-11.120261813232013,W
2021,139,3226,3246,63,71,-8,13,4,True,9,0.1949999999999999,-10.95936241704314,W
2021,139,3195,3276,66,87,-21,11,6,True,5,0.1862348178137652,-3.911759121925723,W
2021,139,3299,3301,58,79,-21,16,1,True,15,-0.0424242424242423,-27.12722274030009,W
2021,139,3329,3448,84,61,23,8,9,True,-1,0.1923076923076923,7.088933574001585,W
2021,139,3199,3333,59,83,-24,9,8,True,1,-0.0326797385620915,-1.5577828968815322,W
2021,139,3273,3376,53,79,-26,16,1,True,15,-0.0961538461538461,-28.32725830310897,W
2021,139,3378,3450,57,53,4,8,9,True,-1,0.3354037267080745,10.284943189884284,W
2021,139,3390,3430,87,44,43,1,16,True,-15,0.2592592592592593,33.9360770553743,W
2021,139,3355,3393,55,72,-17,9,8,True,1,0.2559523809523809,4.888734180173078,W
2021,139,3292,3397,62,87,-25,14,3,True,11,0.0126811594202899,-18.653087944224254,W
2021,139,3266,3439,63,70,-7,10,7,True,3,0.1513043478260869,-1.070235743649202,W
2021,139,3250,3452,53,77,-24,13,4,True,9,-0.1349206349206348,-18.328046854056844,W
2021,140,3104,3314,80,71,9,7,10,True,-3,0.0747826086956522,8.085729525206437,W
2021,140,3112,3392,79,44,35,3,14,True,-11,0.0119047619047618,21.168112870739545,W
2021,140,3125,3211,64,59,5,12,5,True,7,-0.0846153846153845,-13.582807675308352,W
2021,140,3140,3353,69,66,3,11,6,True,5,0.0048309178743961,-7.96336412268106,W
2021,140,3180,3208,53,67,-14,14,3,True,11,-0.1328671328671329,-21.903868049173592,W
2021,140,3231,3433,63,32,31,4,13,True,-9,0.1826086956521739,21.359051555972528,W
2021,140,3235,3277,79,75,4,7,10,True,-3,-0.0367892976588628,5.593802428375293,W
2021,140,3257,3265,74,43,31,2,15,True,-13,0.0274725274725274,25.137500113983364,W
2021,140,3268,3291,98,45,53,2,15,True,-13,0.1958041958041958,28.89714050443818,W
2021,140,3283,3413,70,51,19,5,12,True,-7,0.0424242424242423,14.606385700360136,W
2021,140,3321,3416,62,51,11,7,10,True,-3,-0.1478260869565217,3.1138270202579656,W
2021,140,3332,3377,67,47,20,6,11,True,-5,-0.1635610766045548,6.384076044245529,W
2021,140,3133,3400,62,81,-19,11,6,True,5,-0.074074074074074,-9.725684889047344,W
2021,140,3401,3407,84,80,4,2,15,True,-13,0.12,27.20407514641022,W
2021,140,3417,3461,69,48,21,3,14,True,-11,0.1532091097308487,24.324105671732223,W
2021,140,3116,3460,62,66,-4,4,13,True,-9,-0.0162962962962962,16.916564595532456,W
2021,141,3124,3439,90,48,42,2,7,True,-5,0.3172302737520128,17.122415407818508,W
2021,141,3163,3393,83,47,36,1,8,True,-7,0.3409523809523809,21.273927574217574,W
2021,141,3210,3452,73,56,17,5,4,True,1,-0.1256038647342995,-3.633217076719856,W
2021,141,3234,3246,86,72,14,5,4,True,1,-0.0133333333333334,-1.1256863862901176,W
2021,141,3276,3397,70,55,15,6,3,True,3,0.0411899313501143,-3.529610214641393,W
2021,141,3301,3378,79,67,12,1,8,True,-7,0.0519480519480519,14.819097303064408,W
2021,141,3333,3376,42,59,-17,8,1,True,7,-0.257918552036199,-17.453485097368155,W
2021,141,3329,3390,62,73,-11,8,1,True,7,-0.2336182336182336,-16.91074433129266,W
2021,142,3112,3140,52,46,6,3,11,True,-8,-0.020703933747412,15.007278462275394,W
2021,142,3125,3231,48,70,-22,12,4,True,8,0.017391304347826,-13.115359806725326,W
2021,142,3257,3321,62,53,9,2,7,True,-5,0.2324414715719063,15.228681397492416,W
2021,142,3104,3268,64,100,-36,7,2,True,5,-0.2830769230769231,-14.393704642068542,W
2021,142,3283,3460,64,39,25,5,13,True,-8,0.1890909090909091,19.692987174494487,W
2021,142,3208,3332,50,57,-7,3,6,True,-3,0.1501831501831502,9.769779377786854,W
2021,142,3400,3417,71,62,9,6,3,True,3,-0.0952380952380952,-6.576691754524051,W
2021,142,3235,3401,82,84,-2,7,2,True,5,-0.3046153846153846,-14.874760112799734,W
2021,145,3112,3401,74,59,15,3,2,True,1,-0.1580952380952381,-4.358902747395001,W
2021,145,3124,3276,78,75,3,2,6,True,-4,0.189083820662768,12.44945768649443,W
2021,145,3163,3234,92,72,20,1,5,True,-4,0.2933333333333333,14.777841183230397,W
2021,145,3231,3301,73,70,3,4,1,True,3,-0.1264822134387351,-7.2745203325657215,W
2021,146,3257,3332,60,42,18,2,6,True,-4,0.2655677655677655,14.157705049192565,W
2021,146,3210,3376,65,76,-11,5,1,True,4,-0.1939799331103678,-10.59290567872916,W
2021,146,3283,3390,62,89,-27,5,1,True,4,-0.0168350168350168,-6.636423878285604,W
2021,146,3268,3400,61,64,-3,2,6,True,-4,0.2564102564102565,13.953174661976924,W
2021,147,3112,3231,66,53,13,3,4,True,-1,-0.020703933747412,2.331378914855108,W
2021,147,3124,3163,67,69,-2,2,1,True,1,-0.034074074074074,-1.5889249877349667,W
2021,148,3376,3400,62,34,28,1,6,True,-5,0.1794871794871795,14.045962201854136,W
2021,148,3257,3390,63,78,-15,2,1,True,1,-0.0413105413105413,-1.750549444832485,W
2021,151,3112,3163,69,59,10,3,1,True,2,-0.1980952380952381,-7.063134271241539,W
2021,151,3376,3390,65,66,-1,1,1,True,0,-0.0797720797720797,-0.7987342786495724,W
2021,153,3112,3390,53,54,-1,3,1,True,2,-0.164021164021164,-6.302099426010712,W
2022,134,1231,1461,66,58,8,12,12,True,0,-0.1439393939393939,-1.619498491267698,M
2022,134,1394,1411,67,76,-9,16,16,True,0,0.0333333333333333,0.2709339655407101,M
2022,135,1323,1353,89,87,2,11,11,True,0,0.096774193548387,0.9474659007315872,M
2022,135,1136,1460,82,93,-11,16,16,True,0,0.0939393939393938,0.917235660176063,M
2022,136,1116,1436,75,71,4,4,13,True,-9,-0.0861742424242424,8.492819624008044,M
2022,136,1124,1313,85,49,36,1,16,True,-15,0.0347222222222222,16.11293140033681,M
2022,136,1166,1361,72,69,3,9,8,True,1,-0.0752688172043011,-1.9423427313152544,M
2022,136,1209,1211,72,93,-21,16,1,True,15,-0.296551724137931,-19.074139371449554,M
2022,136,1242,1411,83,56,27,1,16,True,-15,0.2235294117647058,18.12636710858746,M
2022,136,1129,1272,53,64,-11,8,9,True,-1,0.1104594330400782,2.14855075002154,M
2022,136,1161,1276,63,75,-12,6,11,True,-5,0.2791991101223582,8.168569975466529,M
2022,136,1293,1362,92,87,5,7,10,True,-3,0.2122844827586206,5.344702350052891,M
2022,136,1163,1308,63,70,-7,5,12,True,-7,-0.0743534482758621,6.508584798387733,M
2022,136,1266,1314,63,95,-32,9,8,True,1,-0.1143695014662756,-2.359311566563869,M
2022,136,1344,1355,66,57,9,4,13,True,-9,-0.0416666666666666,8.967447431005883,M
2022,136,1234,1350,63,67,-4,5,12,True,-7,0.0857142857142857,8.215543586003246,M
2022,136,1231,1388,53,82,-29,12,5,True,7,-0.1681329423264906,-9.26351825674833,M
2022,136,1246,1389,79,85,-6,2,15,True,-13,0.167189132706374,15.415264100459716,M
2022,136,1255,1397,56,88,-32,14,3,True,11,-0.0021645021645021,-11.714217496370864,M
2022,136,1103,1417,53,57,-4,13,4,True,9,-0.0715725806451612,-10.344092201731645,M
2022,137,1112,1460,87,70,17,1,16,True,-15,0.3057040998217468,19.002676171019512,M
2022,137,1120,1240,80,61,19,2,15,True,-13,0.1885775862068965,15.6433500972195,M
2022,137,1168,1181,61,78,-17,15,2,True,13,-0.1683569979716024,-15.596782122927562,M
2022,137,1222,1412,82,68,14,5,12,True,-7,0.0716911764705882,8.066001458076983,M
2022,137,1151,1228,53,54,-1,13,4,True,9,0.0715725806451612,-8.81759535643867,M
